member_guid,subscription_id,subscription_start_wk,geo,market_area,market_segment,purchase_source,promo_regular,cc_segment,subscription_offerings,subscription_type,entitlement_period,twp_flag,subscription_tenure,member_classification,category,product,visited_website,active_flag
6,1005,2018-31,EMEA,GER,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,905,NEW - FIRST SUBSCRIPTION,MOBILE,LIGHTROOM MOBILE,1,1
7,1006,2020-49,JPN,JPN,EDUCATION,E-TAIL/RETAIL,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,54,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,0
8,1007,2020-51,ASIA,IN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,40,NEW - FIRST SUBSCRIPTION,MOBILE,ACROBAT READER MOBILE,1,1
10,1009,2019-45,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,442,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,0
11,1010,2020-07,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,346,EXISTING - ADDITIONAL,DESKTOP,OVERALL,1,1
12,1011,2014-37,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,2324,EXISTING - ADDITIONAL,DESKTOP,ILLUSTRATOR,1,1
13,1012,2019-30,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Trial_Purchase,546,EXISTING - ADDITIONAL,DESKTOP,ACROBAT,1,1
14,1013,2020-29,JPN,JPN,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,192,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
15,1014,2020-50,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,42,NEW - FIRST SUBSCRIPTION,MOBILE,PHOTOSHOP IPAD,1,1
16,1015,2020-13,EMEA,FRA,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Trial_Purchase,301,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,0
17,1016,2017-46,EMEA,EE,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1165,NEW - FIRST SUBSCRIPTION,DESKTOP,DREAMWEAVER,1,0
18,1017,2020-20,JPN,JPN,EDUCATION,E-TAIL/RETAIL,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,256,NEW - FIRST SUBSCRIPTION,MOBILE,PHOTOSHOP IPAD,1,0
19,1018,2019-03,EMEA,UK,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,738,RESUBSCRIBER - RECENT,DESKTOP,ILLUSTRATOR,1,1
20,1019,2019-02,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,744,EXISTING - ADDITIONAL,DESKTOP,ACROBAT,1,1
21,1020,2021-04,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,1,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,0
22,1021,2020-52,EMEA,EE,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,31,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE RUSH,1,0
23,1022,2013-32,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,2727,NEW - FIRST SUBSCRIPTION,DESKTOP,AFTER EFFECTS,1,1
24,1023,2017-45,AMER,BRZ,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1169,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
25,1024,2020-49,AMER,SLAM,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,53,NEW - FIRST SUBSCRIPTION,DESKTOP,AUDITION,1,0
26,1025,2020-34,ASIA,KOR,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,158,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,0
28,1027,2019-49,EMEA,FRA,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,413,NEW - FIRST SUBSCRIPTION,DESKTOP,MEDIA ENCODER,1,1
29,1028,2020-18,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 1TB,IN,ANNUAL,Direct_Purchase,267,EXISTING - ADDITIONAL,MOBILE,OVERALL,1,0
30,1029,2017-51,EMEA,GER,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1130,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
31,1030,2020-06,EMEA,RCIS,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 1TB,IN,ANNUAL,Direct_Purchase,354,EXISTING - ADDITIONAL,DESKTOP,LIGHTROOM CC,1,1
32,1031,2013-51,AMER,CAN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,2592,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,1
33,1032,2020-41,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,106,NEW - FIRST SUBSCRIPTION,DESKTOP,INDESIGN,1,1
34,1033,2020-02,ASIA,SEA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,383,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
35,1034,2019-31,EMEA,UK,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,542,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
36,1035,2020-45,ASIA,KOR,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,79,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
37,1036,2020-44,EMEA,NORD,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,85,EXISTING - ADDITIONAL,DESKTOP,MEDIA ENCODER,1,1
38,1037,2018-48,AMER,US,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,787,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,0
39,1038,2020-19,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,262,NEW - FIRST SUBSCRIPTION,DESKTOP,DREAMWEAVER,1,1
40,1039,2020-41,AMER,US,EDUCATION,RESELLER,REGULAR,HED,HED - All Apps,TM,ANNUAL,Direct_Purchase,107,NEW - FIRST SUBSCRIPTION,NULL,NULL,1,NULL
41,1040,2020-52,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,MONTHLY,Direct_Purchase,31,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,0
42,1041,2018-12,EMEA,ITA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,MONTHLY,Direct_Purchase,1039,EXISTING - ADDITIONAL,DESKTOP,ACROBAT,1,1
42,1042,2019-16,EMEA,ITA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,644,EXISTING - ADDITIONAL,MOBILE,OVERALL,1,1
43,1043,2019-44,EMEA,UK,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,451,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
44,1044,2017-03,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1467,NEW - FIRST SUBSCRIPTION,DESKTOP,MEDIA ENCODER,1,0
46,1046,2019-42,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Trial_Purchase,464,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
47,1047,2017-28,EMEA,IBE,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,1291,EXISTING - MIGRATE,DESKTOP,ILLUSTRATOR,1,0
48,1048,2014-41,EMEA,FRA,COMMERCIAL,RESELLER,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,2297,NEW - FIRST SUBSCRIPTION,DESKTOP,ACROBAT,1,1
51,1051,2017-16,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,ACROBAT CC,Acrobat,IN,ANNUAL,Direct_Purchase,1374,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
52,1052,2021-01,EMEA,ITA,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,26,NEW - FIRST SUBSCRIPTION,NULL,NULL,1,NULL
53,1053,2020-22,EMEA,IBE,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - Animate,IN,ANNUAL,Direct_Purchase,238,NEW - FIRST SUBSCRIPTION,DESKTOP,OVERALL,1,1
54,1054,2018-46,ASIA,HKT,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,TEAM,CCT - All Apps,TM,ANNUAL,Direct_Purchase,800,EXISTING - REACTIVATE,DESKTOP,INDESIGN,1,0
55,1055,2015-36,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,1971,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
57,1057,2017-43,AMER,MEX,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1186,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
58,1058,2017-11,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,1412,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CC,1,0
59,1059,2019-06,JPN,JPN,EDUCATION,ADOBE.COM/CC.COM,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,720,NEW - FIRST SUBSCRIPTION,DESKTOP,PREMIERE PRO,1,1
60,1060,2020-10,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,324,NEW - FIRST SUBSCRIPTION,DESKTOP,MEDIA ENCODER,1,0
61,1061,2019-50,EMEA,UK,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,406,NEW - FIRST SUBSCRIPTION,DESKTOP,LIGHTROOM CLASSIC,1,1
63,1063,2020-42,EMEA,FRA,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,101,EXISTING - ADDITIONAL,MOBILE,OVERALL,1,0
64,1064,2020-42,JPN,JPN,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - Single App - Illustrator,IN,ANNUAL,Direct_Purchase,101,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
65,1065,2019-03,ASIA,HKT,EDUCATION,ADOBE.COM/CC.COM,PROMO,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,738,NEW - FIRST SUBSCRIPTION,DESKTOP,ILLUSTRATOR,1,1
66,1066,2021-01,EMEA,GER,COMMERCIAL,ADOBE.COM/CC.COM,PROMO,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,21,EXISTING - ADDITIONAL,DESKTOP,LIGHTROOM CLASSIC,1,1
67,1067,2018-18,JPN,JPN,EDUCATION,E-TAIL/RETAIL,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,1000,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
68,1068,2020-32,EMEA,ME,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,INDIVIDUAL,CCI - All Apps,IN,ANNUAL,Direct_Purchase,170,NEW - FIRST SUBSCRIPTION,DESKTOP,PHOTOSHOP,1,1
69,1069,2018-19,AMER,US,COMMERCIAL,ADOBE.COM/CC.COM,REGULAR,PHOTOGRAPHY,CCP - 20GB,IN,ANNUAL,Direct_Purchase,988,EXISTING - MIGRATE,NULL,NULL,1,NULL
70,1070,2020-41,JPN,JPN,EDUCATION,E-TAIL/RETAIL,REGULAR,STUDENT,STE - All Apps,IN,ANNUAL,Direct_Purchase,109,NEW - FIRST SUBSCRIPTION,DESKTOP,DREAMWEAVER,1,0
